ref_no,title,tender_value,bid_submission_end_date,emd,bid_open_date
29/2025-26/R-DIVN/2025-26,"Renovation of Repertory Co. basement and old central A.C. Plant hall, Craft room at the entrance of Chahumukh hall and other misc. works at National School of Drama, New Delhi.
Subwork/Packages:Civil Work","₹59,55,531",05/06/2025 17:00,"₹1,19,111",05/06/2025 17:30
30/2025-26/R-DIVN/DELHI,"Providing Services of maintenance staff for attending day to day complaints and miscellaneous works at 124 Inf Bn (TA) Sikh, National Stadium, New Delhi.
Subwork/Packages:Civil Works","₹38,52,148",05/06/2025 17:00,"₹77,043",05/06/2025 17:30
31/2025-26/R-DIVN/DELHI,"Renovation of Barrack at CSD Guard, Tyagraj Marg, L&T Camp in R/O DHQ Security Troops, Defence Office Complex, New Delhi.
Subwork/Packages:Civil Work","₹31,53,327",05/06/2025 17:00,"₹63,067",05/06/2025 17:30
27/EE-E/AE-E/GESD-III/2025-26,"RMO Lift at Office Building of CPWD Guwahati dg.2025-26 (SH: Comprehensive annual maintenance of Omega make 13 passenger (884 Kg) lift installed at O/o The ADG, NER, CPWD, Garchuk, Guwahati)
Subwork/Packages:Comprehensive annual maintenance of Omega make 13 passenger (884 Kg) Lift","₹1,06,620",05/06/2025 15:00,"₹2,132",05/06/2025 15:30
94/2024-25/CCED/Chandigarh/Div/4th Call,"RMO Lifts installed at Kendriya Sadan Building, Sector 9-A, Chandigarh (SH: Comprehensive Maintenance of 4 Nos. Johnson make Lifts)","₹12,33,600",13/06/2025 15:00,"₹24,672",13/06/2025 15:30
10/CE(Bhopal)/EE-I/2025-26,"Construction of 2 Nos. 108 Bedded(Double Occupancy) (G plus 3) storeyed Girls and Boys Hostel and Extension of Building for Department of Education in Social Science and Humanities (DESSH) for Regional Institute of Education(RIE) at Shamla Hills, Bhopal(M.P.).","₹55,16,44,412",13/06/2025 15:00,"₹65,16,444",13/06/2025 15:30
02/EE&SM(C)-2/DPC-II/CPWD/2025-26,"Providing Comprehensive Consultancy Services for Construction of combined building for admin block, Quarter Guard, Quarter Master store, MT Complex & Office, and Multipurpose Hall (G Plus 3 with basement) at Chhawla Camp, Delhi for SHQ (Delhi) & SHQ (L&C).
Subwork/Packages:Providing Comprehensive Consultancy Services for construction of combined building for admin block, Quarter Guard,Quarter Master store, MT Complex & Office and Multipurpose Hall (G Plus 3) with basement at Chhawla Camp (Delhi) for SHQ Delhi & SHQ (L & C).","₹57,00,000",12/06/2025 15:00,"₹1,14,000",12/06/2025 15:30
03/SE&PD/EE&SM(C)-Kimin/2025-26 (Recall),Construction of Combined Building G Plus 1 for Admin Block Quarter Guard and Quarter Master Store at 49th Bn ITBP Basar Arunachal Pradesh,"₹17,27,43,651",05/06/2025 15:00,"₹27,27,437",05/06/2025 15:30
06/EE-E/BCED/CPWD/2025-26,"Providing and Installation of Grid Connected Roof Top Solar Plant at National Institute for the Empowerment of Persons with Intellectual Disabilities (Divyangjan) regional Centre, B.T. Road, Bonhoogly, Kolkata-700090.
Subwork/Packages:Providing and Installation of Grid Connected Roof Top Solar Plant.","₹25,26,885",05/06/2025 15:00,"₹50,538",05/06/2025 15:30
22/EE-GKP/2024-25 (2nd Recall),"Development works of Campus-II of CRPF Ayodhya including raising of natural ground level and Boundary wall alongwith Guard Room/Dormitory and Gate with overhead slab at Campus-II, CRPF, Ayodhya (UP).
Subwork/Packages:one","₹6,84,80,634",05/06/2025 15:00,"₹13,69,613",05/06/2025 15:30
08/CE/EE/ACD/CPWD/Almora/2025-26,"Construction of 10 Bedded Hospital (Unit Hospital) at 5th Bn Hqr., SSB Champawat (UK) under Ranikhet Frontier.","₹5,00,62,532",06/06/2025 15:00,"₹10,01,300",06/06/2025 15:30
