ref_no,title,tender_value,bid_submission_end_date,emd,bid_open_date
30/AE(E)/KCESD-IV/KCED-II/CPWD/2025-26,"RMO of E&M Services in GPRA Complex at Tollygunge, Kolkata-700040.
Subwork/Packages:Comprehensive Maintenance of 2 Nos. Kone make 08 Passenger lift & 13 Passenger lift at Type-III Block.","₹2,85,324",10/06/2025 15:00,"₹5,706",10/06/2025 15:30
12/AE-II/FD/2025-26,"Topographical survey for NII at NCR Biotech Science Cluster, Faridabad during 2025-26","₹5,19,103",06/06/2025 15:00,"₹10,382",06/06/2025 15:30
52/EE/Mumbai-IV/2025-26,"Providing and fixing of new safety gate with wire mesh and meter cabin repair works to CGH at Sector-I to IV, Antop Hill, Mumbai-37, during 2025-26.
Subwork/Packages:Providing and fixing of new safety gate with wire mesh and meter cabin repair works to CGH at Sector-I to IV, Antop Hill, Mumbai-37, during 2025-26","₹25,70,024",05/06/2025 16:00,"₹51,400",05/06/2025 16:30
06/EE(E)/PLEWD/AE(E)-II/2025-26 - Recall 1,"Operation and Maintenance of Electrical & Mechanical Services at Parliament Library Building, New Delhi (S.H.: Repairing of sewerage & dewatering pump alongwith replacement of all essential defective accessories).","₹5,75,553",05/06/2025 15:00,"₹11,511",05/06/2025 15:30
16/EE(E)/DED-51/NIT/2025-26,"Replacement of MS Poles at SPG Complex Sector -8, Dwarka, New Delhi. (SH Replacement of existing CVCF System)
Subwork/Packages:Replacement of MS Poles at SPG Complex Sector -8, Dwarka, New Delhi (SH Replacement of existing CVCF System)","₹22,20,692",05/06/2025 15:00,"₹44,414",05/06/2025 15:30
17/EE(E)/DED-51/NIT/2025-26,"SITC of UPS, DG Set, Data Networking including Raceway Solar and CCTV in Additional Academic Block at Gargi College Premises in Gargi College, Siri Fort Road, New Delhi (SH SITC of UPS in Additional Academic Block at Gargi College)
Subwork/Packages:SITC of UPS, DG Set, Data Networking including Raceway Solar and CCTV in Additional Academic Block at Gargi College Premises in Gargi College, Siri Fort Road, New Delhi (SH SITC of UPS in Additional Academic Block at Gargi College)","₹20,22,992",05/06/2025 15:00,"₹40,460",05/06/2025 15:30
18/EE(E)/DED-51/NIT/2025-26,"Annual Repair and Maintenance of SPG Complex Sector 8 Dwarka New Delhi (SH Renovation of Toilets in Kendriya School, Vidhyaram School Hostel No. 2 and Residential Qtrs at SPG Complex)
Subwork/Packages:Annual Repair and Maintenance of SPG Complex Sector 8, Dwarka, New Delhi (SH Renovation of Toilets in Kendriya Vidyalaya School, Vidhyaram School Hostel No. 2 and Residential Qtrs at SPG Complex)","₹23,32,891",05/06/2025 15:00,"₹46,658",05/06/2025 15:30
70/EE(E)/HCED/2025-26,PROVIDING E AND M WORKS SERVICES AT HAF GZB SH REPAIRING OF MSIC LED FITTING AND FANS IN TECHNICAL AREA AT HAF,"₹13,67,367",06/06/2025 15:00,"₹27,347",06/06/2025 15:30
71/EE(E)/HCED/2025-26,RMO VARIOUS E AND M SERVICES AT NSSTA KNOWLEDGE PARK II AT GREATER NOIDA UP SH ANNUAL COMPREHENSIVE MAINTENANCE OF PEGASUS MAKE UPS SYSTEM,"₹13,56,048",06/06/2025 15:00,"₹27,121",06/06/2025 15:30
72/EE(E)/HCED/2025-26,PROVIDING E AND M WORK SERIVICES AT HAF GZB SH REPAIR OF STREET LIGHT AND PARAMETER LIGHTING IN THE HINDAN AF STN,"₹13,68,159",06/06/2025 15:00,"₹27,363",06/06/2025 15:30
73/EE(E)/HCED/2025-26,PROVIDING ELECTRICAL AND MECHANICAL WORKS SERIVCES FOR MS RESDL TOWER FOR INCOME TAX DEPTT AT VAISHALI GZB SH COMPREHENSIVE AMC MAINTENANCE OF KONE MAKE LIFT AT RESIDENTIAL TOWERS,"₹13,82,040",06/06/2025 15:00,"₹27,641",06/06/2025 15:30
74/EE(E)/HCED/2025-26,PROVIDING E AND M WORK SERVICES AT HAF GZB SH MISC REPAIRING WORK IN DOMESTIC AREA AT AF STATION HINDAN DURING 2025-26,"₹22,69,994",06/06/2025 15:00,"₹45,400",06/06/2025 15:30
68/AE(E)/HESD/2025-26,Provisioning of Misc. Electrical Work in 11 AFH Family Ward at AF Hindan.,"₹5,99,509",06/06/2025 15:00,"₹11,990",06/06/2025 15:30
75/EE(E)/HCED/2025-26,PROVIDING E AND M WORK SERVICES AT HAF GZB SH OPEATION AND ROUTINE MAINTENNACE OF CENTRAL AC PLANT INSTALLED IN IGLOO BUILDING AT TECHNICAL AREA HAF,"₹14,74,740",06/06/2025 15:00,"₹29,495",06/06/2025 15:30
69/AE(E)/HESD/2025-26,Laying of Different size cables and its accessories for Air Force School at AF Station Hindan.,"₹5,94,864",06/06/2025 15:00,"₹11,897",06/06/2025 15:30
76/EE(E)/HCED/2025-26,PROVIDING E AND M WORK SERVICES AT HAF GHAZIABAD UP SH ROUTINE MAINTENANCE OF FIRE DETECTOR & FIRE ALARM SYSTEM INSTALLED AT VARIOUS LOCATIONS IN TECHNICAL AREA,"₹9,04,234",06/06/2025 15:00,"₹18,085",06/06/2025 15:30
01/SEcumPD/AIIMS/CPWD/BBSR/2025-26,"Construction of additional 3 floors for CCHB building at AIIMS, Bhubaneswar. (SH: Additional E & M works)","₹6,24,26,905",19/06/2025 15:00,"₹12,48,538",19/06/2025 15:30
13/NIT/EE(E) RANCHI-II/CPWD/2025-26,"SITC of 125 KVA DG set for farmers hostel cum multipurpose centre at ICAR-IIAB Campus Garhkhatanga, Ranchi
Subwork/Packages:SITC of 125 KVA DG set for farmers hostel cum multipurpose centre at ICAR-IIAB","₹8,41,114",10/06/2025 15:00,"₹16,822",10/06/2025 15:30
08/DDH/ADH/KHSD-II/CPWD/KOL/2025-26,"Maintenance of Horticulture work at Non-Residential area, Nizam Palace, Kolkata during 2025-26. SH: Providing services of 01 (One) no. computer operator (Skilled) and 01 (One) no. Un-skilled personnel at O/o the Dy. Director (Hort.), KHD, CPWD, Nizam Palace, Kolkata.","₹3,18,219",09/06/2025 15:00,"₹6,364",09/06/2025 15:30
02/AE-E-ROURKELA/2025-2026,"C/o 1500 bedded girls hostel at NIT Rourkela, Odisha. SH: SITC of Split AC at CPWD Office inside NIT Campus
Subwork/Packages:SITC of Split AC at CPWD Office inside NIT Campus","₹3,91,960",09/06/2025 15:00,"₹7,839",09/06/2025 15:30
32/2025-26/R-Divn/Delhi,"Provision of drains in Marut Camp, Air Force Station, New Delhi (SH: Cleaning of Grease Trap in RCC, Marut & Tejas Camp and Akash Officers Mess, Dr. Zakir Hussain Marg, New Delhi)","₹4,60,460",05/06/2025 15:00,"₹9,209",05/06/2025 15:30
34/2025-26/R-Divn/Delhi,Work Services for demolishing of Building No. 28 and Construction of Living-in Billets at AFND (SH: Repair & maintenance of damaged footpath and certain misc works at Marut & Tejas Camp),"₹5,70,977",05/06/2025 15:00,"₹11,420",05/06/2025 15:30
10/SE/11/EE/AMKT/2024-25 (Modified),"C/o Eklavya Model Residential School at Pushprajgarh, Distt- Anuppur (M.P.) SH:- C/o School Building (G plus 2), Girls Hostel (G plus 2), Boys Hostel (G plus 2), Warden residences (2 Nos.) Principal Qtr. 10 Nos. Type II qtrs (G plus 2), 15 Nos. Type - III Qtrs. (G Plus 1), Guest House, Kitchen & Dining, substation, pump room, sentry post i/c internel water supply, Sanitary installation, drainage Internal & External electric installation and development works i.e. 2 No. Borewell, 4 Nos. septic tanks, Road works Retaining wall and compound wall etc. - Recall.","₹35,56,31,025",11/06/2025 15:00,"₹45,56,310",11/06/2025 15:30
35/2025-26/R-Divn/Delhi,"AR&MO: Repair & maintenance of damaged/ missing plaster and tile work at various location and associated work in Marut & Tejas Camp, Air Force Station New Delhi (SH: Repair & maintenance of damaged/ missing granite & tile work opposite Amber Hall Lawn Boundary Wall at RCC)","₹5,70,725",05/06/2025 15:00,"₹11,415",05/06/2025 15:30
04/EE-RKL/CPWD/2025-26,"Third Party Quality Assurances for Construction of EMRS School Building (G plus 2), Boys Hostel Building (G plus 2), Girls hostel Building (G plus 2), 2 nos warden residence (S/S), kitchen and Dining block (S/S), Principal Quarter (S/S), 12 nos Type -III Qtrs (G plus 2), 4 nos Type-III Qtrs (G plus 1), 10 nos Type -II Qtrs (G plus 2) including water supply and sanitary installation, IEI, Sub Stations, Pump house, DGS set, Fire Fighting, Fire Alarm etc. and Development of site & other miscellaneous work at Nuagaon (Hatibari), Dist-Sundargarh, Odisha.",₹0,10/06/2025 17:00,₹0,
